name,easting_m,northing_m,working_platform_level_m,diameter_m,total_length_m,zone_name,,,,,,
CMC-795,502980.663,2443959.497,6.25,0.6,14,Auxiliary Transformer Foundation,,,502980.663 2443959.497 6.25,,,3.95841
CMC-796,502979.669,2443961.233,6.25,0.6,14,Auxiliary Transformer Foundation,,,502979.669 2443961.233 6.25,,,3.95841
CMC-797,502978.674,2443962.968,6.25,0.6,14,Auxiliary Transformer Foundation,,,502978.674 2443962.968 6.25,,,3.95841
CMC-824,502982.399,2443960.492,6.25,0.6,14,Auxiliary Transformer Foundation,,,502982.399 2443960.492 6.25,,,3.95841
CMC-825,502981.404,2443962.227,6.25,0.6,14,Auxiliary Transformer Foundation,,,502981.404 2443962.227 6.25,,,3.95841
CMC-826,502980.41,2443963.962,6.25,0.6,14,Auxiliary Transformer Foundation,,,502980.41 2443963.962 6.25,,,3.95841
CMC-860,502984.134,2443961.486,6.25,0.6,14,Auxiliary Transformer Foundation,,,502984.134 2443961.486 6.25,,,3.95841
CMC-861,502983.14,2443963.222,6.25,0.6,14,Auxiliary Transformer Foundation,,,502983.14 2443963.222 6.25,,,3.95841
CMC-862,502982.145,2443964.957,6.25,0.6,14,Auxiliary Transformer Foundation,,,502982.145 2443964.957 6.25,,,3.95841
CMC-891,502985.87,2443962.481,6.25,0.6,14,Auxiliary Transformer Foundation,,,502985.87 2443962.481 6.25,,,3.95841
CMC-892,502984.875,2443964.216,6.25,0.6,14,Auxiliary Transformer Foundation,,,502984.875 2443964.216 6.25,,,3.95841
CMC-893,502983.881,2443965.952,6.25,0.6,14,Auxiliary Transformer Foundation,,,502983.881 2443965.952 6.25,,,3.95841
CMC-922,502987.606,2443963.475,6.25,0.6,14,Auxiliary Transformer Foundation,,,502987.606 2443963.475 6.25,,,3.95841
CMC-923,502986.611,2443965.211,6.25,0.6,14,Auxiliary Transformer Foundation,,,502986.611 2443965.211 6.25,,,3.95841
CMC-924,502985.617,2443966.946,6.25,0.6,14,Auxiliary Transformer Foundation,,,502985.617 2443966.946 6.25,,,3.95841
CMC-953,502989.341,2443964.47,6.25,0.6,14,Auxiliary Transformer Foundation,,,502989.341 2443964.47 6.25,,,3.95841
CMC-954,502988.347,2443966.205,6.25,0.6,14,Auxiliary Transformer Foundation,,,502988.347 2443966.205 6.25,,,3.95841
CMC-955,502987.352,2443967.941,6.25,0.6,14,Auxiliary Transformer Foundation,,,502987.352 2443967.941 6.25,,,3.95841
CMC-3,502964.125,2443887.778,6.25,0.6,16,Boundary Wall,,,,,,
CMC-4,502963.13,2443889.513,6.25,0.6,16,Boundary Wall,,,,,,
CMC-5,502962.136,2443891.249,6.25,0.6,16,Boundary Wall,,,,,,
CMC-6,502961.141,2443892.984,6.25,0.6,16,Boundary Wall,,,,,,
CMC-7,502960.147,2443894.719,6.25,0.6,16,Boundary Wall,,,,,,
CMC-8,502959.152,2443896.455,6.25,0.6,16,Boundary Wall,,,,,,
CMC-9,502958.158,2443898.19,6.25,0.6,16,Boundary Wall,,,,,,
CMC-10,502957.163,2443899.926,6.25,0.6,16,Boundary Wall,,,,,,
CMC-11,502956.169,2443901.661,6.25,0.6,16,Boundary Wall,,,,,,
CMC-12,502955.174,2443903.396,6.25,0.6,16,Boundary Wall,,,,,,
CMC-13,502954.18,2443905.132,6.25,0.6,16,Boundary Wall,,,,,,
CMC-14,502953.185,2443906.867,6.25,0.6,16,Boundary Wall,,,,,,
CMC-15,502952.191,2443908.602,6.25,0.6,16,Boundary Wall,,,,,,
CMC-16,502951.196,2443910.338,6.25,0.6,16,Boundary Wall,,,,,,
CMC-17,502950.202,2443912.073,6.25,0.6,16,Boundary Wall,,,,,,
CMC-18,502949.208,2443913.808,6.25,0.6,16,Boundary Wall,,,,,,
CMC-19,502948.213,2443915.544,6.25,0.6,16,Boundary Wall,,,,,,
CMC-20,502947.219,2443917.279,6.25,0.6,16,Boundary Wall,,,,,,
CMC-21,502946.224,2443919.015,6.25,0.6,16,Boundary Wall,,,,,,
CMC-22,502945.23,2443920.75,6.25,0.6,16,Boundary Wall,,,,,,
CMC-23,502944.235,2443922.485,6.25,0.6,16,Boundary Wall,,,,,,
CMC-24,502943.241,2443924.221,6.25,0.6,16,Boundary Wall,,,,,,
CMC-25,502942.246,2443925.956,6.25,0.6,16,Boundary Wall,,,,,,
CMC-26,502941.252,2443927.691,6.25,0.6,16,Boundary Wall,,,,,,
CMC-27,502940.257,2443929.427,6.25,0.6,16,Boundary Wall,,,,,,
CMC-28,502939.263,2443931.162,6.25,0.6,16,Boundary Wall,,,,,,
CMC-29,502938.268,2443932.898,6.25,0.6,16,Boundary Wall,,,,,,
CMC-30,502937.274,2443934.633,6.25,0.6,16,Boundary Wall,,,,,,
CMC-31,502936.279,2443936.368,6.25,0.6,16,Boundary Wall,,,,,,
CMC-32,502935.285,2443938.104,6.25,0.6,16,Boundary Wall,,,,,,
CMC-33,502965.86,2443888.773,6.25,0.6,16,Boundary Wall,,,,,,
CMC-34,502964.866,2443890.508,6.25,0.6,16,Boundary Wall,,,,,,
CMC-35,502963.871,2443892.243,6.25,0.6,16,Boundary Wall,,,,,,
CMC-36,502962.877,2443893.979,6.25,0.6,16,Boundary Wall,,,,,,
CMC-37,502961.882,2443895.714,6.25,0.6,16,Boundary Wall,,,,,,
CMC-38,502960.888,2443897.449,6.25,0.6,16,Boundary Wall,,,,,,
CMC-39,502959.893,2443899.185,6.25,0.6,16,Boundary Wall,,,,,,
CMC-40,502958.899,2443900.92,6.25,0.6,16,Boundary Wall,,,,,,
CMC-41,502957.904,2443902.655,6.25,0.6,16,Boundary Wall,,,,,,
CMC-42,502956.91,2443904.391,6.25,0.6,16,Boundary Wall,,,,,,
CMC-43,502955.915,2443906.126,6.25,0.6,16,Boundary Wall,,,,,,
CMC-44,502954.921,2443907.862,6.25,0.6,16,Boundary Wall,,,,,,
CMC-45,502953.927,2443909.597,6.25,0.6,16,Boundary Wall,,,,,,
CMC-46,502952.932,2443911.332,6.25,0.6,16,Boundary Wall,,,,,,
CMC-47,502951.938,2443913.068,6.25,0.6,16,Boundary Wall,,,,,,
CMC-48,502950.943,2443914.803,6.25,0.6,16,Boundary Wall,,,,,,
CMC-49,502949.949,2443916.538,6.25,0.6,16,Boundary Wall,,,,,,
CMC-50,502948.954,2443918.274,6.25,0.6,16,Boundary Wall,,,,,,
