pile_num,img_x_px,img_y_px,ocr_conf,angle_votes,confidence_level
1,2115.0,1974.9,70,2,medium
2,1914.9,3435.0,49,4,medium
3,450.5,3405.6,53,3,medium
4,2458.2,3264.8,94,3,medium
5,2824.7,4833.9,37,3,medium
6,1300.8,5251.6,43,1,low
7,4012.0,3727.7,96,2,medium
9,1781.9,2450.8,84,2,medium
10,2186.4,4128.2,95,5,high
11,1615.4,3745.5,76,2,medium
12,1743.0,3745.1,96,5,high
13,1420.2,3344.6,91,3,medium
14,1366.4,3170.6,96,5,high
15,1460.8,3324.2,59,2,medium
16,1623.2,3838.0,92,4,medium
17,1661.8,3725.6,95,5,high
18,1617.4,3561.0,95,7,high
19,1603.2,3442.9,96,6,high
20,3667.5,4152.6,86,1,low
21,1518.8,3152.0,94,6,high
22,1409.5,2061.8,39,1,low
23,1587.9,3263.4,58,3,medium
24,1405.3,2861.6,96,5,high
25,4275.4,2651.8,50,1,low
27,1297.2,2225.6,96,4,medium
28,3552.3,1542.6,61,1,low
31,3046.7,1208.7,84,2,medium
32,2009.3,1577.2,94,1,low
33,777.5,2333.6,76,2,medium
34,839.0,2143.0,84,3,medium
36,1031.9,2019.4,53,1,low
37,1862.2,3413.6,96,7,high
38,4796.4,3745.8,46,2,medium
40,1888.0,3988.8,89,4,medium
41,1547.5,2668.3,96,6,high
42,1484.3,2659.1,96,5,high
43,1747.3,3685.7,91,5,high
44,1586.5,3506.4,95,6,high
45,1149.5,5177.2,88,2,medium
46,4367.5,3330.9,92,2,medium
47,1328.4,1759.2,96,5,high
48,2043.9,3818.0,92,4,medium
49,1977.9,3710.7,82,3,medium
51,4626.6,3360.0,78,2,medium
52,3423.7,3640.2,78,1,low
54,1565.0,5375.2,88,2,medium
57,1737.2,2783.4,95,7,high
58,1126.7,2583.6,43,1,low
60,4041.6,1352.7,40,1,low
61,1158.2,2254.2,55,3,medium
62,394.8,3278.0,75,2,medium
64,1411.0,2599.2,71,4,medium
67,2184.1,3773.6,96,5,high
68,1148.4,1659.1,74,1,low
70,2071.1,3338.9,95,7,high
71,2089.1,3242.0,95,7,high
72,2382.7,4195.4,96,2,medium
73,1938.3,2916.4,96,9,high
74,1885.1,2759.4,92,9,high
75,1844.9,2590.5,93,6,high
76,2223.6,3397.8,86,7,high
77,2750.9,2346.1,81,3,medium
78,1709.5,2147.3,96,8,high
79,1544.4,2159.9,95,6,high
81,1399.0,1893.1,81,4,medium
82,2472.2,1579.5,92,2,medium
83,1342.1,1543.2,96,3,medium
84,1510.0,2293.6,89,5,high
87,2210.6,3292.5,96,8,high
88,2887.1,266.0,49,1,low
89,2097.7,2976.4,85,1,low
91,2030.4,2779.4,92,11,high
92,1777.9,4346.1,86,1,low
93,1930.5,2432.0,96,10,high
94,2288.4,375.5,91,2,medium
97,2031.8,2695.6,62,2,medium
98,1229.8,1270.7,60,1,low
100,1503.9,1461.9,86,2,medium
101,2723.1,3620.1,94,3,medium
102,3704.0,3928.2,94,3,medium
103,3297.5,3886.3,96,1,low
104,2356.1,3234.1,96,5,high
105,2368.2,3088.0,86,6,high
106,3654.5,4110.7,83,4,medium
107,2114.3,4384.7,87,2,medium
108,2126.3,2609.6,95,22,high
110,2016.6,2442.6,74,2,medium
112,4549.6,3237.4,69,1,low
113,1820.0,2010.3,89,6,high
114,1968.7,1752.2,94,5,high
116,1662.5,1567.1,94,3,medium
117,1730.1,1357.3,93,4,medium
118,1853.6,1553.0,79,2,medium
119,2135.4,2334.7,85,1,low
122,2449.1,4703.1,83,2,medium
123,1984.7,2098.5,86,5,high
125,2488.3,5027.9,90,2,medium
126,2287.4,2585.3,93,12,high
127,2224.8,2321.0,96,11,high
128,2033.4,2250.6,96,8,high
129,2184.2,2013.4,93,5,high
130,2168.1,1857.4,91,5,high
132,2104.3,1558.7,96,4,medium
133,1636.7,1592.7,96,3,medium
134,2117.8,1713.4,95,5,high
135,2999.9,3448.5,93,3,medium
136,2751.1,3438.6,95,5,high
137,2734.2,3269.6,96,7,high
138,2706.7,3105.4,94,9,high
139,2635.7,2967.5,91,5,high
140,2578.0,2834.5,92,6,high
141,2513.8,2681.2,80,2,medium
142,2455.3,2552.6,95,11,high
143,2415.0,2415.5,96,11,high
144,2382.7,2270.5,96,9,high
145,2161.9,2160.3,89,4,medium
146,2582.4,2825.4,92,4,medium
147,2304.7,1823.7,96,5,high
148,1920.5,1688.0,96,7,high
149,2274.4,1520.7,75,3,medium
150,1675.0,1558.7,90,4,medium
151,1603.2,1427.1,65,1,low
153,2892.0,3393.7,74,2,medium
154,1742.9,1354.6,78,3,medium
156,1887.2,1456.6,94,3,medium
157,2717.6,2780.7,94,10,high
158,2787.6,2891.7,88,7,high
159,2234.7,1371.4,79,3,medium
160,2608.4,2384.5,79,4,medium
162,2503.9,2079.9,96,7,high
163,2154.3,1961.3,95,4,medium
164,2361.3,1784.8,86,3,medium
165,2035.5,1691.9,87,5,high
166,2219.3,1500.8,95,3,medium
167,1750.8,1490.3,96,4,medium
168,2176.4,2691.7,92,5,high
169,3226.4,3333.4,96,6,high
170,3178.0,3152.6,94,3,medium
171,3071.5,3079.7,69,1,low
173,2906.6,2909.6,96,6,high
174,2860.9,2752.0,93,8,high
175,2816.0,2613.0,93,9,high
176,3110.3,3266.1,82,5,high
177,2679.1,2293.6,94,8,high
178,2673.9,2233.9,96,12,high
179,2679.2,2046.3,81,3,medium
180,2509.6,2341.9,93,9,high
181,2211.4,1742.3,94,5,high
182,3054.3,3447.4,93,5,high
183,2474.3,1934.9,96,6,high
184,2496.3,2216.7,94,7,high
185,1931.7,1222.4,85,3,medium
186,3367.3,3245.8,96,5,high
187,3169.6,3328.3,95,6,high
188,2638.1,2583.2,86,16,high
189,3145.0,2699.8,89,2,medium
190,3047.0,2592.5,83,1,low
191,2984.7,2579.9,93,7,high
192,2900.0,2431.8,96,7,high
193,2768.1,2257.7,95,9,high
194,2867.7,2277.2,94,8,high
195,2634.4,2029.5,93,5,high
196,2782.4,1987.5,96,5,high
197,2776.8,1856.4,93,4,medium
198,2748.6,1712.5,95,5,high
199,2314.9,1519.4,88,3,medium
200,3330.1,3476.6,96,2,medium
201,3441.3,2964.1,95,5,high
202,3675.2,2192.1,35,1,low
203,3209.3,3074.7,95,1,low
204,3305.0,3318.0,82,1,low
205,3156.9,2771.6,78,1,low
207,2955.8,2232.7,96,8,high
208,3068.8,2308.0,96,2,medium
209,3006.3,2124.4,96,2,medium
210,2929.4,1945.4,96,6,high
212,3665.5,2938.2,95,4,medium
213,3442.3,3295.2,96,4,medium
214,3415.1,3124.8,96,5,high
215,3361.1,2448.9,87,5,high
216,3326.8,2560.9,96,5,high
217,3278.6,2523.2,81,5,high
218,3321.6,2597.1,96,11,high
219,2986.8,2048.2,95,7,high
221,2944.3,1900.9,66,1,low
223,2905.6,1568.8,96,2,medium
224,3074.9,2006.6,92,6,high
226,3538.6,3171.5,94,1,low
227,3179.8,2117.6,60,1,low
229,3228.0,2294.1,93,1,low
231,3186.0,2036.5,87,3,medium
233,3824.4,2640.8,68,2,medium
234,3362.1,2316.4,89,3,medium
235,3568.3,2045.0,88,3,medium
237,3794.0,3029.7,95,4,medium
238,3688.6,3145.3,94,1,low
239,3662.9,2993.9,94,1,low
240,3625.1,2559.0,96,4,medium
241,3505.2,2256.9,93,4,medium
242,3587.1,2512.2,96,5,high
243,3433.5,2115.6,96,5,high
244,3386.6,2014.0,96,7,high
245,3023.6,1614.4,87,3,medium
246,3325.8,1791.0,95,7,high
247,3363.2,1583.4,96,4,medium
248,2991.6,1529.1,93,4,medium
249,3924.5,3056.7,96,3,medium
250,3839.9,3118.9,91,1,low
251,3809.6,2514.2,90,3,medium
252,3602.7,2049.2,94,4,medium
253,3770.3,2339.7,73,2,medium
254,3771.2,2347.3,85,2,medium
255,3359.5,1773.4,78,4,medium
257,3139.4,1517.9,91,3,medium
258,2898.9,1181.6,91,2,medium
259,3574.1,1609.3,87,1,low
260,4165.6,2784.0,95,2,medium
261,4077.2,2951.0,69,3,medium
262,3531.6,1935.5,54,1,low
263,4082.8,2594.7,73,2,medium
266,4151.7,2972.7,81,3,medium
267,3582.8,1796.5,95,4,medium
268,3875.3,2435.3,96,2,medium
270,3548.9,1592.3,96,4,medium
271,3618.9,1473.1,57,2,medium
272,4267.3,3088.9,96,3,medium
273,4216.9,2962.9,96,3,medium
274,4168.5,2816.7,96,3,medium
275,4105.8,2634.7,83,4,medium
276,3796.1,1789.3,93,4,medium
277,4015.0,2330.8,88,3,medium
278,4032.5,2399.3,96,4,medium
279,3743.9,1754.3,94,3,medium
280,4103.8,3215.2,83,1,low
281,3473.3,1394.6,70,1,low
282,3999.1,3065.7,88,2,medium
283,3751.6,2661.0,86,1,low
284,3713.1,1632.7,86,4,medium
285,4310.6,2634.0,95,2,medium
287,3685.9,2026.3,93,6,high
288,4196.7,2517.6,76,1,low
289,4181.4,2407.1,94,2,medium
291,3750.8,1498.0,91,4,medium
297,4620.4,3042.5,96,2,medium
299,4507.6,2868.2,91,1,low
300,4450.9,2977.8,94,2,medium
301,4094.1,1644.5,84,1,low
304,4322.8,2342.0,92,3,medium
307,3873.6,1360.6,96,3,medium
308,1477.0,4624.2,92,1,low
309,1698.4,4582.8,95,3,medium
310,1597.3,4413.4,96,3,medium
311,1774.0,4369.4,55,3,medium
312,2337.7,965.0,80,2,medium
313,2281.9,1095.3,96,3,medium
314,2721.6,762.6,91,2,medium
315,2501.6,874.1,90,3,medium
316,3152.4,606.7,96,2,medium
317,2856.5,663.7,87,3,medium
318,3037.5,322.4,94,3,medium
319,1451.1,4337.3,94,2,medium
320,2521.1,1328.9,96,4,medium
321,2306.9,1364.0,95,4,medium
322,2404.2,1050.6,89,3,medium
323,3272.7,1311.5,96,3,medium
324,3355.5,1024.9,96,3,medium
325,3538.9,1123.0,89,1,low
326,3495.0,701.5,95,3,medium
327,3953.3,987.5,96,3,medium
328,3986.3,1404.3,96,3,medium
330,2343.4,598.5,62,1,low
332,3325.6,673.1,96,3,medium
333,3036.1,386.8,93,2,medium
334,3660.4,1043.9,95,3,medium
335,1718.5,4447.0,34,1,low
337,3128.9,1067.1,96,3,medium
338,2493.0,602.3,90,3,medium
339,2855.9,653.0,94,3,medium
340,2410.0,4588.2,92,2,medium
341,1546.1,4264.4,70,3,medium
342,2021.1,1000.1,92,3,medium
343,2494.0,1010.6,90,1,low
344,2510.3,767.6,95,6,high
345,2802.4,1253.8,93,3,medium
347,3037.2,1174.5,96,3,medium
348,2462.4,1169.2,89,3,medium
351,3202.4,1285.6,75,2,medium
352,3223.4,1085.4,88,3,medium
353,1915.2,4188.9,64,1,low
355,4085.6,1381.0,91,1,low
357,3101.7,1654.6,90,4,medium
361,2574.8,1082.8,86,3,medium
362,1360.9,834.4,62,1,low
371,286.0,4472.6,84,3,medium
372,332.4,4502.8,96,3,medium
373,313.9,4472.2,93,3,medium
375,255.4,4427.3,96,3,medium
376,539.4,4764.0,88,3,medium
377,498.9,4767.8,95,3,medium
378,348.7,4639.6,96,3,medium
380,3245.0,1510.7,73,1,low
382,3050.9,1009.4,77,3,medium
400,1288.8,1636.5,91,4,medium
401,2919.9,3513.4,79,4,medium
402,4377.4,2744.5,77,2,medium
404,2590.8,3189.7,95,3,medium
405,2480.2,3079.3,94,4,medium
406,63.8,4238.6,93,1,low
407,2220.3,1786.7,68,1,low
408,3516.8,4411.6,90,1,low
410,2056.9,2397.2,95,8,high
412,1860.4,2174.7,73,4,medium
413,1666.9,2156.3,89,3,medium
414,1613.7,1989.4,94,6,high
415,1406.2,1993.1,65,2,medium
416,1380.3,1794.9,91,5,high
417,1259.8,1699.6,90,2,medium
418,2574.6,5306.4,81,2,medium
419,2697.4,5417.1,89,2,medium
421,935.9,2819.8,86,2,medium
423,1909.3,2148.7,75,1,low
426,2217.0,2499.0,95,13,high
427,2039.6,2445.7,77,1,low
428,2322.3,2450.6,76,2,medium
430,1438.7,607.5,82,3,medium
431,2839.7,4972.9,68,2,medium
432,1514.0,1887.5,95,4,medium
433,1014.4,681.9,95,1,low
434,1237.0,605.1,94,3,medium
435,3106.0,3332.0,81,1,low
436,1614.4,511.3,82,1,low
437,2885.9,3127.3,94,8,high
438,955.8,893.8,84,3,medium
439,2025.2,437.0,91,2,medium
440,1959.8,2512.4,90,1,low
441,1867.7,2388.0,91,3,medium
442,2388.9,2537.3,89,6,high
443,2432.5,328.8,96,3,medium
444,2501.3,2661.8,87,5,high
445,2090.6,2192.0,96,5,high
446,2596.2,2766.4,85,2,medium
447,1862.8,1979.5,91,4,medium
